,year,week,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city
109,2000,8,Atlanta Falcons,New Orleans Saints,New Orleans Saints,,Sun,October 22,1:05PM,21,19,402,1,278,0,Falcons,Atlanta,Saints,New Orleans
110,2000,8,Oakland Raiders,Seattle Seahawks,Oakland Raiders,,Sun,October 22,4:05PM,31,3,380,1,283,3,Raiders,Oakland,Seahawks,Seattle
111,2000,8,Pittsburgh Steelers,Cleveland Browns,Pittsburgh Steelers,,Sun,October 22,4:05PM,22,0,248,0,104,3,Steelers,Pittsburgh,Browns,Cleveland
112,2000,8,Jacksonville Jaguars,Washington Redskins,Washington Redskins,,Sun,October 22,4:15PM,35,16,399,2,385,4,Jaguars,Jacksonville,Redskins,Washington
113,2000,8,New York Jets,Miami Dolphins,New York Jets,,Mon,October 23,9:10PM,40,37,455,4,433,3,Jets,New York,Dolphins,Miami
114,2000,9,Tampa Bay Buccaneers,Minnesota Vikings,Tampa Bay Buccaneers,,Sun,October 29,1:01PM,41,13,413,0,401,3,Buccaneers,Tampa Bay,Vikings,Minnesota
115,2000,9,Buffalo Bills,New York Jets,Buffalo Bills,,Sun,October 29,1:01PM,23,20,338,0,337,4,Bills,Buffalo,Jets,New York
116,2000,9,Miami Dolphins,Green Bay Packers,Miami Dolphins,,Sun,October 29,1:02PM,28,20,296,1,319,2,Dolphins,Miami,Packers,Green Bay
117,2000,9,Baltimore Ravens,Pittsburgh Steelers,Pittsburgh Steelers,,Sun,October 29,1:02PM,9,6,231,1,274,3,Ravens,Baltimore,Steelers,Pittsburgh
118,2000,9,Atlanta Falcons,Carolina Panthers,Atlanta Falcons,,Sun,October 29,1:02PM,13,12,281,3,209,4,Falcons,Atlanta,Panthers,Carolina
119,2000,9,Cleveland Browns,Cincinnati Bengals,Cincinnati Bengals,,Sun,October 29,1:03PM,12,3,253,1,182,1,Browns,Cleveland,Bengals,Cincinnati
120,2000,9,Indianapolis Colts,Detroit Lions,Indianapolis Colts,,Sun,October 29,2:00PM,30,18,420,5,328,4,Colts,Indianapolis,Lions,Detroit
121,2000,9,Arizona Cardinals,New Orleans Saints,New Orleans Saints,,Sun,October 29,4:05PM,21,10,247,1,394,4,Cardinals,Arizona,Saints,New Orleans
122,2000,9,San Francisco 49ers,St. Louis Rams,St. Louis Rams,,Sun,October 29,4:05PM,34,24,447,1,325,0,49ers,San Francisco,Rams,St. Louis
123,2000,9,New York Giants,Philadelphia Eagles,New York Giants,,Sun,October 29,4:07PM,24,7,384,0,192,1,Giants,New York,Eagles,Philadelphia
124,2000,9,Dallas Cowboys,Jacksonville Jaguars,Jacksonville Jaguars,,Sun,October 29,4:15PM,23,17,392,0,325,3,Cowboys,Dallas,Jaguars,Jacksonville
125,2000,9,Seattle Seahawks,Kansas City Chiefs,Kansas City Chiefs,,Sun,October 29,4:16PM,24,19,410,3,351,4,Seahawks,Seattle,Chiefs,Kansas City
126,2000,9,San Diego Chargers,Oakland Raiders,Oakland Raiders,,Sun,October 29,8:35PM,15,13,228,1,224,2,Chargers,San Diego,Raiders,Oakland
127,2000,9,Washington Redskins,Tennessee Titans,Tennessee Titans,,Mon,October 30,9:01PM,27,21,189,0,266,3,Redskins,Washington,Titans,Tennessee
128,2000,10,Detroit Lions,Miami Dolphins,Miami Dolphins,,Sun,November 5,1:01PM,23,8,293,0,253,3,Lions,Detroit,Dolphins,Miami
129,2000,10,New Orleans Saints,San Francisco 49ers,New Orleans Saints,,Sun,November 5,1:02PM,31,15,360,0,346,2,Saints,New Orleans,49ers,San Francisco
130,2000,10,Chicago Bears,Indianapolis Colts,Chicago Bears,,Sun,November 5,1:02PM,27,24,370,0,371,2,Bears,Chicago,Colts,Indianapolis
131,2000,10,New England Patriots,Buffalo Bills,Buffalo Bills,,Sun,November 5,1:02PM,16,13,315,1,189,2,Patriots,New England,Bills,Buffalo
132,2000,10,Atlanta Falcons,Tampa Bay Buccaneers,Tampa Bay Buccaneers,,Sun,November 5,1:02PM,27,14,267,2,283,4,Falcons,Atlanta,Buccaneers,Tampa Bay
133,2000,10,Philadelphia Eagles,Dallas Cowboys,Philadelphia Eagles,,Sun,November 5,1:03PM,16,13,357,2,295,2,Eagles,Philadelphia,Cowboys,Dallas
134,2000,10,Tennessee Titans,Pittsburgh Steelers,Tennessee Titans,,Sun,November 5,1:03PM,9,7,364,1,167,3,Titans,Tennessee,Steelers,Pittsburgh
135,2000,10,Cincinnati Bengals,Baltimore Ravens,Baltimore Ravens,,Sun,November 5,1:03PM,27,7,378,0,174,1,Bengals,Cincinnati,Ravens,Baltimore
136,2000,10,Cleveland Browns,New York Giants,New York Giants,,Sun,November 5,1:03PM,24,3,370,1,193,1,Browns,Cleveland,Giants,New York
